model,lat,lon,taw,organic_carbon,cec,ph,sand_pct,bulk_density,awc,texture_class,cluster
agglomerative,7.294929943127,80.12518371581,8.862375468015678,2.5478156497533164,15.151423876981037,5.394623279571533,75.1740890949393,1.454382101694743,0.0590825031201045,Loamy sand,1
gmm,7.294929943127,80.12518371581,8.862375468015678,2.5478156497533164,15.151423876981037,5.394623279571533,75.1740890949393,1.454382101694743,0.0590825031201045,Loamy sand,0
kmeans,7.294929943127,80.13461151122,8.795115351676941,2.5200276542443274,15.461298070797389,5.479337851206462,75.07679275031994,1.4531584580739338,0.0586341023445129,Loamy sand,0
agglomerative,7.294929943127,80.13461151122,8.795115351676941,2.5200276542443274,15.461298070797389,5.479337851206462,75.07679275031994,1.4531584580739338,0.0586341023445129,Loamy sand,1
gmm,7.294929943127,80.13461151122,8.795115351676941,2.5200276542443274,15.461298070797389,5.479337851206462,75.07679275031994,1.4531584580739338,0.0586341023445129,Loamy sand,0
kmeans,7.294929943127,80.14403930662999,8.907533437013624,2.510948912355316,15.379579368423668,5.451240698496501,75.71796453913954,1.451948841412862,0.0593835562467574,Loamy sand,0
agglomerative,7.294929943127,80.14403930662999,8.907533437013624,2.510948912355316,15.379579368423668,5.451240698496501,75.71796453913954,1.451948841412862,0.0593835562467574,Loamy sand,1
gmm,7.294929943127,80.14403930662999,8.907533437013624,2.510948912355316,15.379579368423668,5.451240698496501,75.71796453913954,1.451948841412862,0.0593835562467574,Loamy sand,0
kmeans,7.285502147717,79.95548339843,6.261147186160091,2.9445938756775982,15.754232702848627,5.501527627309163,80.47251710350929,1.516168514887492,0.0417409812410672,Loamy sand,2
agglomerative,7.285502147717,79.95548339843,6.261147186160091,2.9445938756775982,15.754232702848627,5.501527627309163,80.47251710350929,1.516168514887492,0.0417409812410672,Loamy sand,3
gmm,7.285502147717,79.95548339843,6.261147186160091,2.9445938756775982,15.754232702848627,5.501527627309163,80.47251710350929,1.516168514887492,0.0417409812410672,Loamy sand,2
kmeans,7.285502147717,79.96491119384,6.294931098818782,2.941226602921801,15.752798090365028,5.495509306589763,80.10443760536114,1.5209901332855225,0.0419662073254585,Loamy sand,2
agglomerative,7.285502147717,79.96491119384,6.294931098818782,2.941226602921801,15.752798090365028,5.495509306589763,80.10443760536114,1.5209901332855225,0.0419662073254585,Loamy sand,3
